auprc,auroc,f1,recall,window,feature_set,model,fold,n_train,n_test
0.42941441530922414,0.7457650050873748,0.4510964148973199,0.6328125,w4,F3,lr,1,22122,5416
0.3686985537404314,0.6755789152955515,0.3972911963882618,0.643510054844607,w4,F3,lr,2,22136,5402
0.4067200762263112,0.7148365493501722,0.4481976304512226,0.7383720930232558,w4,F3,lr,3,21904,5634
0.22805730065976174,0.623701646261875,0.2965054712319096,0.515970515970516,w4,F3,lr,4,21826,5712
0.3296766022413761,0.6900312061189494,0.40420137631293007,0.5734840698869476,w4,F3,lr,5,22164,5374
0.4365046465131762,0.731720470991291,0.46026097271648875,0.568359375,w4,F3,lgbm,1,22122,5416
0.39062962420715885,0.6910057645399317,0.41675320179993075,0.5502742230347349,w4,F3,lgbm,2,22136,5402
0.40934730102258077,0.7115205710086019,0.4480446927374302,0.6661129568106312,w4,F3,lgbm,3,21904,5634
0.2154581604844059,0.613300268976055,0.28350515463917525,0.47297297297297297,w4,F3,lgbm,4,21826,5712
0.37554101169703946,0.7085692240831932,0.41010830324909747,0.5837615621788284,w4,F3,lgbm,5,22164,5374
0.4304116151532031,0.7463304418900842,0.45065562456866803,0.6376953125,w4,F4_all,lr,1,22122,5416
0.369756815041212,0.6761140363831416,0.3947072072072072,0.6407678244972578,w4,F4_all,lr,2,22136,5402
0.40801144800164035,0.714799802014354,0.44602128737962493,0.7308970099667774,w4,F4_all,lr,3,21904,5634
0.22795354812057622,0.623636183048188,0.2948539638386648,0.5208845208845209,w4,F4_all,lr,4,21826,5712
0.32888880450925495,0.6895781651044925,0.40289330922242317,0.5724563206577595,w4,F4_all,lr,5,22164,5374
0.4345470301632377,0.731322908662056,0.4550221863654699,0.55078125,w4,F4_all,lgbm,1,22122,5416
0.39821714698470095,0.6926272535769514,0.4231427593289969,0.5648994515539305,w4,F4_all,lgbm,2,22136,5402
0.4007641728590504,0.7092842331430971,0.4490022172949002,0.6727574750830565,w4,F4_all,lgbm,3,21904,5634
0.20899218253705992,0.6037835229341966,0.27408829174664107,0.43857493857493857,w4,F4_all,lgbm,4,21826,5712
0.3731907244140895,0.710968473249446,0.4135145060594932,0.578622816032888,w4,F4_all,lgbm,5,22164,5374
0.429415308706806,0.7457652274376707,0.4510964148973199,0.6328125,w4,F4_structural_only,lr,1,22122,5416
