window,feature_set,model,auprc_mean,auroc_mean,f1_mean,recall_mean
w4,F3,lgbm,0.365496,0.691223,0.403734,0.568296
w4,F4_all,lgbm,0.363142,0.689597,0.402954,0.561127
w4,F4_behavioral_only,lgbm,0.365303,0.690286,0.402575,0.566972
w4,F4_delta_only,lgbm,0.363395,0.690078,0.404406,0.564558
w4,F4_structural_only,lgbm,0.365891,0.691742,0.403948,0.571291
w4,F3,lr,0.352513,0.689983,0.399458,0.62083
w4,F4_all,lr,0.353004,0.690092,0.397826,0.62054
w4,F4_behavioral_only,lr,0.352995,0.690086,0.397867,0.62054
w4,F4_delta_only,lr,0.352531,0.689994,0.399458,0.62083
w4,F4_structural_only,lr,0.352511,0.689982,0.399458,0.62083
