Held-out presentation,n,Dropout rate,F1_median,F1_native,F2,F3
AAA__2013J,370,0.127,0.253,0.254,0.250,0.283
AAA__2014J,348,0.141,0.181,0.176,0.171,0.177
BBB__2013B,1530,0.175,0.292,0.292,0.293,0.294
BBB__2013J,1835,0.133,0.237,0.247,0.250,0.249
BBB__2014B,1282,0.124,0.164,0.153,0.159,0.160
BBB__2014J,1787,0.137,0.232,0.225,0.236,0.218
CCC__2014B,1498,0.307,0.497,0.497,0.505,0.500
CCC__2014J,2021,0.297,0.521,0.512,0.519,0.524
DDD__2013B,1146,0.240,0.404,0.400,0.397,0.418
DDD__2013J,1645,0.238,0.498,0.496,0.497,0.503
DDD__2014B,1030,0.283,0.487,0.469,0.485,0.499
DDD__2014J,1463,0.210,0.406,0.417,0.416,0.403
EEE__2013J,927,0.127,0.236,0.225,0.229,0.206
EEE__2014B,605,0.139,0.214,0.209,0.228,0.220
EEE__2014J,1021,0.136,0.259,0.277,0.280,0.262
FFF__2013B,1450,0.170,0.340,0.332,0.343,0.334
FFF__2013J,1982,0.190,0.343,0.340,0.338,0.346
FFF__2014B,1302,0.203,0.305,0.306,0.310,0.298
FFF__2014J,1859,0.188,0.388,0.390,0.392,0.409
GGG__2013J,924,0.041,0.060,0.065,0.052,0.054
GGG__2014B,796,0.079,0.104,0.098,0.103,0.098
GGG__2014J,717,0.131,0.193,0.176,0.198,0.193
