variant,model,F1_AUPRC,F3_AUPRC,F4_all_AUPRC,F4_structural_only_AUPRC,F4_behavioral_only_AUPRC,F4_delta_only_AUPRC,best_feature_group,delta_F3_minus_F1,delta_F4all_minus_F3
baseline_orig_json,lightgbm,0.8164230137796812,0.824378894045829,0.8260852090683858,0.8227857443979695,0.8189254023488689,0.8269202472778192,F4_delta_only,0.007955880266147797,0.0017063150225568036
baseline_orig_json,logreg,0.8383473873554225,0.8405623121208176,0.8395342367681937,0.8416082845743826,0.8399160155496194,0.8400765845752811,F4_structural_only,0.0022149247653950876,-0.0010280753526238362
baseline_orig_json,xgboost,0.824294500609491,0.8272226117844417,0.8291470669303747,0.8279771889953127,0.8322057450005911,0.8288790810744888,F4_behavioral_only,0.0029281111749506206,0.0019244551459329795
drop_active_at_w4,lightgbm,0.8026985807467341,0.8072058268584895,0.8078448181721625,0.8077874888803429,0.809428878193725,0.8086107006969411,F4_behavioral_only,0.0045072461117554585,0.0006389913136729541
drop_active_at_w4,logreg,0.7501230118454969,0.7815502633000102,0.7839306505939951,0.7815056895913824,0.7834925293870922,0.7819046112922041,F4_all,0.031427251454513305,0.0023803872939849313
drop_active_at_w4,xgboost,0.8048930304787654,0.8062757863780308,0.8084901904777285,0.8063508489608321,0.8087210578691454,0.808132743083519,F4_behavioral_only,0.0013827558992653977,0.002214404099697753
drop_all_proxy_bundle,lightgbm,0.8039972790803397,0.8077322826073137,0.8106754515918021,0.8074360587307423,0.8106598779344948,0.8083400195555308,F4_all,0.003735003526973979,0.0029431689844884312
drop_all_proxy_bundle,logreg,0.7465134230777759,0.774013761556867,0.7817409625649766,0.7741639057725569,0.7800141142360202,0.7808824297086796,F4_all,0.027500338479091058,0.007727201008109641
drop_all_proxy_bundle,xgboost,0.8055019893871229,0.8051344927589695,0.8075806167809134,0.8082392471609903,0.8077267028145392,0.8101601774026326,F4_delta_only,-0.00036749662815338535,0.002446124021943885
drop_assess_behavior_bundle,lightgbm,0.8134755231505348,0.8202996200553496,0.8213788476921767,0.8248236347199581,0.822406209560119,0.828275813615579,F4_delta_only,0.00682409690481478,0.001079227636827107
drop_assess_behavior_bundle,logreg,0.8375258960616687,0.8409017756335064,0.8389871434118525,0.8404384956251464,0.8410252874135613,0.8404052848075989,F4_behavioral_only,0.0033758795718377144,-0.0019146322216538891
drop_assess_behavior_bundle,xgboost,0.8209441657716159,0.8267876632459179,0.8302208645105431,0.8305148914153748,0.8307371845442506,0.8329667601609723,F4_delta_only,0.005843497474302017,0.0034332012646252075
drop_assess_due_but_missing_ratio_w4,lightgbm,0.8164230137796812,0.82462684598994,0.8177322269361738,0.8230279239298932,0.8214997694161785,0.8229229843565881,F3,0.008203832210258777,-0.006894619053766204
drop_assess_due_but_missing_ratio_w4,logreg,0.8383473873554225,0.8394042784542057,0.8386677549993569,0.8407002024033445,0.8397584694247582,0.840377141616576,F4_structural_only,0.0010568910987832636,-0.0007365234548488697
drop_assess_due_but_missing_ratio_w4,xgboost,0.824294500609491,0.8289352956080144,0.8266337018064547,0.8241004608524909,0.830314736799423,0.8260495185811831,F4_behavioral_only,0.004640794998523323,-0.002301593801559698
drop_assess_submit_ratio_w4,lightgbm,0.8134755231505348,0.8258831731064767,0.8186265306866741,0.8203405085596717,0.8248771989222157,0.819960660610469,F3,0.012407649955941902,-0.007256642419802617
drop_assess_submit_ratio_w4,logreg,0.8375258960616687,0.8406030606090079,0.8395179360749774,0.8394710771639557,0.8381325549719044,0.8405476821225167,F3,0.003077164547339195,-0.0010851245340305349
drop_assess_submit_ratio_w4,xgboost,0.8209441657716159,0.8293573796619464,0.8273158432938051,0.8261178456031504,0.8292342383729417,0.8284494271077147,F3,0.008413213890330562,-0.0020415363681413057
drop_inactive_gap_days_w4,lightgbm,0.8164230137796812,0.8260954713019375,0.8222251096239332,0.8238112910136093,0.8230434781518386,0.8283182222656442,F4_delta_only,0.009672457522256317,-0.0038703616780042527
drop_inactive_gap_days_w4,logreg,0.8383473873554225,0.8391259101004992,0.8394521851994313,0.8395835069095505,0.8404001926042907,0.8395862155543534,F4_behavioral_only,0.0007785227450767263,0.00032627509893212725
drop_inactive_gap_days_w4,xgboost,0.824294500609491,0.8299835483783069,0.8253112040169852,0.8289057212275295,0.8285435873262357,0.8282993204727737,F3,0.005689047768815847,-0.00467234436132169
drop_never_active_until_w4,lightgbm,0.8164230137796812,0.82462684598994,0.8195858049755167,0.8214239931515714,0.8224267239302665,0.8229229843565881,F3,0.008203832210258777,-0.005041041014423264
drop_never_active_until_w4,logreg,0.8383473873554225,0.8418403334969289,0.8406150741549578,0.8407271939963475,0.840625477320626,0.8406877839172072,F3,0.0034929461415064145,-0.0012252593419710411
drop_never_active_until_w4,xgboost,0.824294500609491,0.8289571268954554,0.8266337018064547,0.8289407760086597,0.830314736799423,0.8283329109112353,F4_behavioral_only,0.004662626285964366,-0.0023234250890007413
drop_state_bundle,lightgbm,0.8026985807467341,0.8079086602393759,0.8091653382228978,0.8066979059776007,0.8090566330960585,0.8102716836498917,F4_delta_only,0.00521007949264185,0.0012566779835219144
drop_state_bundle,logreg,0.7501230118454969,0.7766587285413066,0.783651250484197,0.7765394600764799,0.7836269085676866,0.7803996510038655,F4_all,0.026535716695809675,0.006992521942890462
drop_state_bundle,xgboost,0.8048930304787654,0.8089413155726057,0.8087839733180257,0.8065350804711794,0.809389012225266,0.8095694037280415,F4_delta_only,0.004048285093840365,-0.000157342254580084
